Player,Position,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,Rnd,Pick,Tm,Draft_Position,Age,year,Ht_m,Wt_kg,BMI,Position_Performance_Index
John Abraham,OLB,South Carolina,6.4,252.0,4.55,34.5,22.0,117.0,7.12,4.29,1,1.0,13.0,NYJ,DE,22.0,2000,1.9507200000000002,114.305184,30.038348650916046,189.46
Shaun Alexander,RB,Alabama,6.0,218.0,4.58,34.0,19.0,118.0,7.07,4.26,1,1.0,19.0,SEA,RB,23.0,2000,1.8288000000000002,98.883056,29.56578768095807,186.90999999999997
Darnell Alford,OT,Boston Col.,6.4,334.0,5.56,25.0,23.0,94.0,8.48,4.98,1,6.0,188.0,KAN,G,23.0,2000,1.9507200000000002,151.499728,39.81273194208714,42.019999999999996
Kyle Allamon,TE,Texas Tech,6.2,253.0,4.97,29.0,20.0,104.0,7.29,4.49,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,114.758776,32.1345781580452,169.75
Rashard Anderson,CB,Jackson State,6.2,206.0,4.55,34.0,15.0,123.0,7.18,4.15,1,1.0,23.0,CAR,DB,23.0,2000,1.88976,93.439952,26.164913440937994,172.88000000000002
Jake Arians,K,Ala-Birmingham,5.1,202.0,4.92,33.5,13.0,113.5,7.15,4.33,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5544799999999999,91.625584,37.91809219741299,0.0
LaVar Arrington,OLB,Penn State,6.3,250.0,4.53,34.5,22.0,117.0,7.12,4.29,1,1.0,2.0,WAS,LB,22.0,2000,1.92024,113.398,30.753487362913813,189.44
Corey Atkins,OLB,South Carolina,6.0,237.0,4.72,31.0,21.0,112.0,7.96,4.39,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.8288000000000002,107.501304,32.14262238709662,181.07
Kyle Atteberry,K,Baylor,6.0,167.0,4.92,33.5,13.0,113.5,7.15,4.33,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.8288000000000002,75.749864,22.64902083816513,0.0
Reggie Austin,CB,Wake Forest,5.9,175.0,4.44,35.0,17.0,119.0,7.03,4.14,1,4.0,125.0,CHI,DB,23.0,2000,1.7983200000000001,79.3786,24.54536453329027,169.60999999999999
John Baker,P,North Texas,6.3,227.0,4.89,32.0,15.0,114.0,7.155,4.41,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,102.965384,27.92416652552574,0.0
Mark Baniewicz,OT,Syracuse,6.6,312.0,5.34,28.0,20.0,96.0,7.72,4.73,1,7.0,247.0,JAX,T,23.0,2000,2.01168,141.520704,34.97052754742179,37.790000000000006
Rashidi Barnes,S,Colorado,6.0,208.0,4.62,35.0,10.0,114.0,6.92,4.32,1,7.0,225.0,CLE,DB,22.0,2000,1.8288000000000002,94.347136,28.209558888253575,164.85999999999999
David Barrett,CB,Arkansas,5.1,199.0,4.44,37.5,16.0,116.0,6.81,4.04,1,4.0,102.0,ARI,DB,22.0,2000,1.5544799999999999,90.264808,37.35495221428309,168.79
William Bartee,CB,Oklahoma,6.1,192.0,4.43,38.5,15.0,124.0,6.7,3.99,1,2.0,54.0,KAN,DB,23.0,2000,1.85928,87.089664,25.19283368764713,177.62
Andrew Bayes,P,East Carolina,6.2,200.0,4.89,32.0,15.0,114.0,7.155,4.41,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,90.7184,25.402828583434943,0.0
Terrance Beadles,OG,Ark-Pine Bluff,6.3,312.0,5.19,27.5,29.0,101.0,7.890000000000001,4.78,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,141.520704,38.380352228916436,175.35999999999999
Robert Bean,CB,Mississippi State,5.11,178.0,4.5,34.5,15.0,122.0,6.87,4.2,1,5.0,133.0,CIN,DB,22.0,2000,1.5575280000000002,80.739376,33.2823254493144,172.07
Anthony Becht,TE,West Virginia,6.6,270.0,4.78,33.5,20.0,123.0,6.94,4.08,1,1.0,27.0,NYJ,TE,23.0,2000,2.01168,122.46984,30.262956531422702,192.3
Matt Beck,ILB,California,6.3,234.0,4.65,33.0,22.0,115.0,7.19,4.3,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,106.140528,28.78526417168733,186.14000000000001
Rogers Beckett,S,Marshall,6.1,207.0,4.62,39.5,15.0,119.0,6.48,4.29,1,2.0,43.0,SDG,DB,23.0,2000,1.85928,93.893544,27.161023819494563,173.89
Brad Bedell,OG,Colorado,6.4,302.0,5.07,31.5,17.0,103.0,7.76,4.58,1,6.0,206.0,CLE,T,23.0,2000,1.9507200000000002,136.984784,35.99833846260574,168.91
Marcus Bell,ILB,Arizona,6.2,237.0,4.78,31.5,21.0,111.0,7.17,4.33,1,4.0,116.0,SEA,LB,23.0,2000,1.88976,107.501304,30.10235187137041,179.78
Gary Berry,S,Ohio State,5.11,204.0,4.55,35.5,17.0,120.0,7.01,4.2,1,4.0,126.0,GNB,DB,22.0,2000,1.5575280000000002,92.532768,38.14378871719179,171.26
Michael Boireau,DE,Miami (FL),6.4,274.0,5.09,29.0,26.0,105.0,7.68,4.49,1,2.0,56.0,MIN,DE,22.0,2000,1.9507200000000002,124.28420799999999,32.66074416805951,177.26000000000002
Matt Bowen,S,Iowa,6.1,201.0,4.49,33.0,12.0,115.0,7.06,4.09,1,6.0,198.0,STL,DB,23.0,2000,1.85928,91.171992,26.37374776675559,163.64000000000001
Carl Bradley,DT,Virginia Tech,6.2,300.0,5.03,29.5,27.0,105.0,7.69,4.64,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,136.0776,38.10424287515241,178.85999999999999
Tom Brady,QB,Michigan,6.4,211.0,5.28,24.5,19.5,99.0,7.2,4.38,1,6.0,199.0,NWE,QB,23.0,2000,1.9507200000000002,95.707912,25.151157005330496,140.35999999999999
Robert Brannon,DT,Iowa State,6.4,309.0,5.19,28.5,28.0,99.0,7.82,4.7,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,140.159928,36.83273703624229,173.20999999999998
Keith Brown,RB,UCLA,5.11,216.0,4.66,30.0,19.0,117.0,6.64,4.08,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,97.975872,40.38754099467366,181.38
Demario Brown,RB,Utah State,6.0,217.0,4.72,31.0,19.0,107.0,7.17,4.39,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.8288000000000002,98.429464,29.43016480168762,173.27999999999997
Courtney Brown,DE,Penn State,6.5,269.0,4.78,33.0,24.0,114.0,7.28,4.41,1,1.0,1.0,CLE,DE,22.0,2000,1.9812,122.016248,31.08572693148016,187.47
Mike Brown,S,Nebraska,5.1,204.0,4.59,36.0,14.0,116.0,6.93,4.01,1,2.0,39.0,CHI,DB,22.0,2000,1.5544799999999999,92.532768,38.29351885283292,167.53
Ralph Brown,CB,Nebraska,5.1,185.0,4.55,36.0,10.0,122.0,6.94,4.16,1,5.0,140.0,NYG,DB,21.0,2000,1.5544799999999999,83.91452,34.72696562634358,173.65
Travis Brown,QB,Northern Arizona,6.3,218.0,5.01,29.0,19.5,101.0,7.54,4.87,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,98.883056,26.817040980460842,147.42
Lamont Bryant,DE,Notre Dame,6.3,260.0,4.91,33.0,17.0,114.0,7.28,4.41,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.92024,117.93392,31.983626857430366,180.6
Marc Bulger,QB,West Virginia,6.2,208.0,4.97,31.0,19.5,100.0,7.46,4.34,1,6.0,168.0,NOR,QB,23.0,2000,1.88976,94.347136,26.418941726772342,147.77
Keith Bulluck,OLB,Syracuse,6.3,244.0,4.47,38.0,22.0,119.0,7.33,4.13,1,1.0,30.0,TEN,LB,23.0,2000,1.92024,110.676448,30.01540366620388,194.93
Bill Burke,QB,Michigan State,6.4,206.0,5.03,28.5,19.5,107.0,7.46,4.42,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,93.439952,24.555158024161532,152.41
Plaxico Burress,WR,Michigan State,6.5,231.0,4.59,33.0,14.0,115.0,6.975,4.22,1,1.0,8.0,PIT,WR,23.0,2000,1.9812,104.779752,26.694434651196715,163.785
David Byrd,CB,Syracuse,5.11,202.0,4.53,36.0,14.0,117.0,7.18,4.39,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,91.625584,37.76983000427814,169.1
Trung Canidate,RB,Arizona,5.11,193.0,4.41,34.0,18.0,118.0,7.07,4.26,1,1.0,31.0,STL,RB,23.0,2000,1.5575280000000002,87.543256,36.08701579616674,185.73999999999998
Cooper Carlisle,OG,Florida,6.5,297.0,5.16,31.0,28.0,100.0,7.82,4.48,1,4.0,112.0,DEN,G,23.0,2000,1.9812,134.716824,34.32141598011007,176.45999999999998
Giovanni Carmazzi,QB,Hofstra,6.3,224.0,4.74,36.5,19.5,119.0,6.94,4.23,1,3.0,65.0,SFO,QB,23.0,2000,1.92024,101.604608,27.555124677170774,171.41
Leonardo Carson,DE,Auburn,6.1,283.0,5.06,28.0,22.0,106.0,7.82,4.75,1,4.0,113.0,SDG,DT,23.0,2000,1.85928,128.366536,37.133187154188214,173.63
Tyrone Carter,S,Minnesota,5.8,190.0,4.5,41.0,16.0,121.0,6.75,4.19,1,4.0,118.0,MIN,DB,24.0,2000,1.76784,86.18248,27.576114572231784,177.44
Kwame Cavil,WR,Texas,6.2,208.0,4.54,39.5,14.0,118.0,6.975,4.22,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.88976,94.347136,26.418941726772342,173.23499999999999
